symbol,side,entry_px,exit_px,qty,pnl,outcome,entry_ts,exit_ts
BTCUSDT,BUY,109761.27503,109487.31403000001,0.001,-0.274,SL,1749589425000,1749590130000
BTCUSDT,SELL,109599.63894,109873.59994,0.001,-0.274,SL,1749590190000,1749591390000
BTCUSDT,BUY,109723.37124,109887.74784,0.001,0.1644,TP,1749591450000,1749592890000
BTCUSDT,BUY,109882.88719,110047.26379,0.001,0.1644,TP,1749592935000,1749593190000
BTCUSDT,BUY,110085.0074,109811.0464,0.001,-0.274,SL,1749593250000,1749594930000
BTCUSDT,BUY,109842.78318,109568.82218,0.001,-0.274,SL,1749594945000,1749595950000
BTCUSDT,BUY,109600.959,109765.3356,0.001,0.1644,TP,1749595965000,1749596670000
BTCUSDT,SELL,109598.33907,109872.30007,0.001,-0.274,SL,1749596970000,1749598290000
BTCUSDT,SELL,109861.51275,110135.47374999999,0.001,-0.274,SL,1749598305000,1749598890000
BTCUSDT,BUY,110069.60586000001,110233.98246000001,0.001,0.1644,TP,1749598950000,1749599490000
BTCUSDT,BUY,110211.62006,109937.65906,0.001,-0.274,SL,1749599610000,1749600750000
BTCUSDT,BUY,109964.09531,109690.13431000001,0.001,-0.274,SL,1749600765000,1749603630000
BTCUSDT,SELL,109777.0212,109612.6446,0.001,0.1644,TP,1749603675000,1749604890000
BTCUSDT,SELL,109582.0407,109417.6641,0.001,0.1644,TP,1749605130000,1749618795000
BTCUSDT,SELL,109409.058,109683.019,0.001,-0.274,SL,1749619230000,1749625410000
BTCUSDT,BUY,109642.9632,109369.0022,0.001,-0.274,SL,1749625530000,1749632955000
BTCUSDT,BUY,109454.14431999999,109180.18332,0.001,-0.274,SL,1749632970000,1749635355000
BTCUSDT,SELL,109228.77603,109064.39942999999,0.001,0.1644,TP,1749635430000,1749644490000
BTCUSDT,SELL,109091.18979,109365.15079,0.001,-0.274,SL,1749644610000,1749645030000
BTCUSDT,BUY,109610.96,109775.33660000001,0.001,0.1644,TP,1749645075000,1749645090000
BTCUSDT,BUY,109700.46895,109426.50795,0.001,-0.274,SL,1749645150000,1749648750000
BTCUSDT,BUY,109385.43745,109549.81405,0.001,0.1644,TP,1749648765000,1749648990000
BTCUSDT,BUY,109775.07641000001,109501.11541000001,0.001,-0.274,SL,1749649125000,1749649530000
BTCUSDT,BUY,109483.04721,109647.42381000001,0.001,0.1644,TP,1749649545000,1749649770000
BTCUSDT,BUY,109608.85978999999,109773.23638999999,0.001,0.1644,TP,1749649830000,1749650490000
BTCUSDT,BUY,109831.38204,109995.75864,0.001,0.1644,TP,1749650565000,1749651390000
BTCUSDT,BUY,110057.30463,110221.68123,0.001,0.1644,TP,1749651450000,1749651570000
BTCUSDT,BUY,110201.21902,109927.25802000001,0.001,-0.274,SL,1749651615000,1749652710000
BTCUSDT,BUY,109937.9927,109664.0317,0.001,-0.274,SL,1749652725000,1749654615000
