symbol,side,entry_px,exit_px,qty,pnl,outcome,entry_ts,exit_ts
ETHUSDT,BUY,2771.507123,2775.6624229999998,0.02,0.0831,TP,1749561045000,1749561150000
ETHUSDT,BUY,2773.387311,2766.461811,0.02,-0.1385,SL,1749561195000,1749561390000
ETHUSDT,BUY,2770.277,2763.3515,0.02,-0.1385,SL,1749561405000,1749562110000
ETHUSDT,SELL,2759.724,2755.5687000000003,0.02,0.0831,TP,1749562155000,1749562170000
ETHUSDT,SELL,2760.52392,2756.36862,0.02,0.0831,TP,1749562230000,1749562290000
ETHUSDT,SELL,2753.914581,2749.759281,0.02,0.0831,TP,1749562335000,1749562350000
ETHUSDT,SELL,2751.704802,2747.5495020000003,0.02,0.0831,TP,1749562395000,1749562410000
ETHUSDT,SELL,2750.034969,2745.879669,0.02,0.0831,TP,1749562455000,1749562470000
ETHUSDT,SELL,2749.0450680000004,2744.8897680000005,0.02,0.0831,TP,1749562515000,1749562530000
ETHUSDT,SELL,2738.996073,2734.840773,0.02,0.0831,TP,1749562575000,1749562590000
ETHUSDT,SELL,2739.276045,2735.120745,0.02,0.0831,TP,1749562650000,1749562890000
ETHUSDT,SELL,2730.2969430000003,2726.1416430000004,0.02,0.0831,TP,1749562935000,1749562950000
ETHUSDT,SELL,2722.997673,2718.842373,0.02,0.0831,TP,1749563025000,1749563070000
ETHUSDT,SELL,2727.62721,2723.47191,0.02,0.0831,TP,1749563130000,1749563190000
ETHUSDT,SELL,2729.727,2736.6524999999997,0.02,-0.1385,SL,1749563250000,1749563430000
ETHUSDT,SELL,2735.8163910000003,2742.741891,0.02,-0.1385,SL,1749563445000,1749563535000
ETHUSDT,BUY,2737.77375,2741.9290499999997,0.02,0.0831,TP,1749563610000,1749563910000
ETHUSDT,BUY,2742.734246,2735.808746,0.02,-0.1385,SL,1749563970000,1749564150000
ETHUSDT,BUY,2737.253698,2730.328198,0.02,-0.1385,SL,1749564165000,1749564510000
ETHUSDT,BUY,2731.2831010000004,2735.4384010000003,0.02,0.0831,TP,1749564525000,1749564630000
ETHUSDT,BUY,2742.944267,2747.0995669999998,0.02,0.0831,TP,1749564675000,1749564690000
ETHUSDT,BUY,2744.414414,2748.5697139999997,0.02,0.0831,TP,1749564735000,1749564810000
ETHUSDT,BUY,2745.284501,2738.3590010000003,0.02,-0.1385,SL,1749564870000,1749564990000
ETHUSDT,BUY,2740.3640090000004,2744.5193090000002,0.02,0.0831,TP,1749565005000,1749565530000
ETHUSDT,BUY,2739.513924,2732.588424,0.02,-0.1385,SL,1749565590000,1749566010000
ETHUSDT,SELL,2732.716701,2739.6422009999997,0.02,-0.1385,SL,1749566070000,1749566250000
ETHUSDT,SELL,2741.455827,2737.3005270000003,0.02,0.0831,TP,1749566265000,1749566310000
ETHUSDT,SELL,2738.766096,2734.610796,0.02,0.0831,TP,1749566370000,1749566550000
ETHUSDT,SELL,2733.046668,2739.972168,0.02,-0.1385,SL,1749566610000,1749566970000
ETHUSDT,SELL,2739.716001,2735.560701,0.02,0.0831,TP,1749566985000,1749567090000
ETHUSDT,SELL,2734.066566,2740.992066,0.02,-0.1385,SL,1749567150000,1749567930000
ETHUSDT,BUY,2741.194092,2745.349392,0.02,0.0831,TP,1749567975000,1749568035000
ETHUSDT,BUY,2745.784551,2749.939851,0.02,0.0831,TP,1749568125000,1749568590000
ETHUSDT,BUY,2750.275,2743.3495000000003,0.02,-0.1385,SL,1749568650000,1749568770000
ETHUSDT,BUY,2742.894262,2735.968762,0.02,-0.1385,SL,1749568785000,1749569010000
ETHUSDT,BUY,2736.523625,2729.598125,0.02,-0.1385,SL,1749569025000,1749569430000
ETHUSDT,SELL,2720.3179410000002,2716.1626410000003,0.02,0.0831,TP,1749569505000,1749569550000
ETHUSDT,SELL,2697.490224,2704.415724,0.02,-0.1385,SL,1749569625000,1749569670000
ETHUSDT,SELL,2703.2996430000003,2710.225143,0.02,-0.1385,SL,1749569685000,1749569850000
ETHUSDT,SELL,2709.399033,2716.324533,0.02,-0.1385,SL,1749569865000,1749570270000
ETHUSDT,SELL,2716.208352,2723.133852,0.02,-0.1385,SL,1749570285000,1749570555000
ETHUSDT,SELL,2719.957977,2726.883477,0.02,-0.1385,SL,1749570570000,1749570810000
ETHUSDT,SELL,2730.62691,2737.55241,0.02,-0.1385,SL,1749570825000,1749571290000
