symbol,side,entry_px,exit_px,qty,pnl,outcome,entry_ts,exit_ts
BNBUSDT,SELL,666.8733060000001,665.8723560000001,0.1,0.1001,TP,1749561345000,1749562110000
BNBUSDT,SELL,665.913402,664.912452,0.1,0.1001,TP,1749562215000,1749562290000
BNBUSDT,SELL,663.9735959999999,662.9726459999999,0.1,0.1001,TP,1749562365000,1749562530000
BNBUSDT,SELL,663.3936540000001,662.3927040000001,0.1,0.1001,TP,1749562590000,1749563070000
BNBUSDT,SELL,662.2237709999999,661.222821,0.1,0.1001,TP,1749563115000,1749564510000
BNBUSDT,SELL,661.2238709999999,662.8921209999999,0.1,-0.1668,SL,1749564570000,1749564795000
BNBUSDT,SELL,662.663727,661.662777,0.1,0.1001,TP,1749564810000,1749564990000
BNBUSDT,SELL,661.543839,660.5428890000001,0.1,0.1001,TP,1749565050000,1749565950000
BNBUSDT,SELL,660.313962,659.313012,0.1,0.1001,TP,1749566070000,1749566490000
BNBUSDT,SELL,659.43405,661.1022999999999,0.1,-0.1668,SL,1749566535000,1749568410000
BNBUSDT,SELL,661.0038930000001,660.0029430000001,0.1,0.1001,TP,1749568425000,1749569490000
BNBUSDT,SELL,659.804013,658.8030630000001,0.1,0.1001,TP,1749569535000,1749569610000
BNBUSDT,SELL,658.684125,660.3523749999999,0.1,-0.1668,SL,1749569670000,1749570510000
BNBUSDT,SELL,660.093984,661.7622339999999,0.1,-0.1668,SL,1749570525000,1749571410000
BNBUSDT,BUY,661.7661700000001,662.7671200000001,0.1,0.1001,TP,1749571470000,1749573750000
BNBUSDT,BUY,662.486242,663.4871919999999,0.1,0.1001,TP,1749573870000,1749574410000
BNBUSDT,BUY,662.96629,663.96724,0.1,0.1001,TP,1749574470000,1749574590000
BNBUSDT,BUY,663.226316,664.227266,0.1,0.1001,TP,1749574650000,1749574755000
BNBUSDT,BUY,663.2663200000001,664.26727,0.1,0.1001,TP,1749574830000,1749575010000
BNBUSDT,BUY,664.276421,665.277371,0.1,0.1001,TP,1749575115000,1749575910000
BNBUSDT,BUY,665.096503,663.428253,0.1,-0.1668,SL,1749575955000,1749578535000
BNBUSDT,BUY,664.0263960000001,665.0273460000001,0.1,0.1001,TP,1749578550000,1749581070000
BNBUSDT,BUY,665.496543,666.497493,0.1,0.1001,TP,1749581310000,1749581610000
BNBUSDT,BUY,666.3866320000001,667.3875820000001,0.1,0.1001,TP,1749581670000,1749582450000
BNBUSDT,BUY,667.406734,668.407684,0.1,0.1001,TP,1749582570000,1749584130000
BNBUSDT,BUY,668.586852,666.9186020000001,0.1,-0.1668,SL,1749584190000,1749585210000
BNBUSDT,BUY,666.7866720000001,667.787622,0.1,0.1001,TP,1749585225000,1749585810000
BNBUSDT,BUY,667.96679,668.9677399999999,0.1,0.1001,TP,1749585870000,1749585990000
BNBUSDT,BUY,668.386832,669.387782,0.1,0.1001,TP,1749586035000,1749588090000
BNBUSDT,BUY,669.546948,670.547898,0.1,0.1001,TP,1749588150000,1749589290000
BNBUSDT,BUY,670.647058,671.648008,0.1,0.1001,TP,1749589395000,1749589470000
BNBUSDT,BUY,670.6170549999999,671.6180049999999,0.1,0.1001,TP,1749589530000,1749589650000
BNBUSDT,BUY,671.2171149999999,669.548865,0.1,-0.1668,SL,1749589830000,1749590130000
BNBUSDT,SELL,669.423051,671.0913009999999,0.1,-0.1668,SL,1749590190000,1749590670000
BNBUSDT,SELL,671.0428890000001,670.0419390000001,0.1,0.1001,TP,1749590685000,1749591030000
BNBUSDT,SELL,669.8530079999999,668.8520579999999,0.1,0.1001,TP,1749591090000,1749592350000
BNBUSDT,SELL,668.83311,670.50136,0.1,-0.1668,SL,1749592590000,1749592950000
BNBUSDT,BUY,671.447138,672.448088,0.1,0.1001,TP,1749593055000,1749593190000
BNBUSDT,BUY,672.347228,670.678978,0.1,-0.1668,SL,1749593430000,1749595170000
BNBUSDT,SELL,670.842909,669.841959,0.1,0.1001,TP,1749595230000,1749595890000
BNBUSDT,SELL,669.573036,671.241286,0.1,-0.1668,SL,1749595965000,1749596490000
BNBUSDT,SELL,671.5028430000001,673.171093,0.1,-0.1668,SL,1749596505000,1749597690000
BNBUSDT,BUY,673.0272960000001,674.0282460000001,0.1,0.1001,TP,1749597750000,1749600090000
BNBUSDT,BUY,673.797373,672.129123,0.1,-0.1668,SL,1749600150000,1749600750000
BNBUSDT,BUY,672.1672100000001,673.1681600000001,0.1,0.1001,TP,1749600765000,1749601650000
BNBUSDT,BUY,672.437237,673.438187,0.1,0.1001,TP,1749601710000,1749602190000
BNBUSDT,BUY,673.257319,671.5890690000001,0.1,-0.1668,SL,1749602250000,1749603090000
BNBUSDT,SELL,671.182875,670.181925,0.1,0.1001,TP,1749603225000,1749604170000
BNBUSDT,SELL,669.6330300000001,668.6320800000001,0.1,0.1001,TP,1749604365000,1749605235000
BNBUSDT,SELL,669.173076,670.841326,0.1,-0.1668,SL,1749605310000,1749612210000
BNBUSDT,SELL,670.782915,669.781965,0.1,0.1001,TP,1749612225000,1749614730000
BNBUSDT,SELL,669.693024,668.692074,0.1,0.1001,TP,1749614850000,1749618510000
BNBUSDT,SELL,669.1430790000001,670.811329,0.1,-0.1668,SL,1749618630000,1749623370000
BNBUSDT,BUY,671.307124,669.6388740000001,0.1,-0.1668,SL,1749623415000,1749625650000
BNBUSDT,BUY,669.286922,670.287872,0.1,0.1001,TP,1749625665000,1749625950000
BNBUSDT,BUY,670.147008,671.147958,0.1,0.1001,TP,1749626070000,1749630630000
BNBUSDT,BUY,671.86718,670.19893,0.1,-0.1668,SL,1749630765000,1749635610000
BNBUSDT,BUY,670.1270059999999,668.458756,0.1,-0.1668,SL,1749635625000,1749638430000
BNBUSDT,SELL,668.3731560000001,667.3722060000001,0.1,0.1001,TP,1749638490000,1749639750000
BNBUSDT,SELL,666.773316,668.441566,0.1,-0.1668,SL,1749639870000,1749645030000
BNBUSDT,SELL,667.9731959999999,669.6414459999999,0.1,-0.1668,SL,1749645045000,1749645270000
BNBUSDT,SELL,669.203073,668.202123,0.1,0.1001,TP,1749645285000,1749648750000
BNBUSDT,SELL,667.583235,669.2514849999999,0.1,-0.1668,SL,1749648825000,1749649110000
BNBUSDT,BUY,669.336927,667.668677,0.1,-0.1668,SL,1749649170000,1749649590000
BNBUSDT,BUY,667.736767,668.737717,0.1,0.1001,TP,1749649605000,1749649815000
BNBUSDT,BUY,668.6368570000001,669.6378070000001,0.1,0.1001,TP,1749649950000,1749651450000
BNBUSDT,BUY,669.806974,670.807924,0.1,0.1001,TP,1749651630000,1749651990000
BNBUSDT,BUY,670.537047,671.537997,0.1,0.1001,TP,1749652110000,1749652470000
BNBUSDT,BUY,671.807174,670.1389240000001,0.1,-0.1668,SL,1749652530000,1749654615000
BNBUSDT,BUY,670.8870820000001,669.2188320000001,0.1,-0.1668,SL,1749654630000,1749655470000
BNBUSDT,BUY,669.676961,668.0087110000001,0.1,-0.1668,SL,1749655485000,1749655530000
BNBUSDT,SELL,668.583135,670.2513849999999,0.1,-0.1668,SL,1749655590000,1749655830000
BNBUSDT,SELL,669.972996,668.972046,0.1,0.1001,TP,1749655845000,1749657870000
BNBUSDT,SELL,669.1430790000001,668.1421290000001,0.1,0.1001,TP,1749657915000,1749657930000
BNBUSDT,SELL,667.823211,669.491461,0.1,-0.1668,SL,1749658065000,1749659010000
BNBUSDT,SELL,669.383055,668.382105,0.1,0.1001,TP,1749659025000,1749659250000
BNBUSDT,BUY,668.696863,667.0286130000001,0.1,-0.1668,SL,1749659310000,1749664230000
BNBUSDT,SELL,666.623331,665.622381,0.1,0.1001,TP,1749664305000,1749665730000
BNBUSDT,SELL,665.7034229999999,667.3716729999999,0.1,-0.1668,SL,1749665790000,1749666255000
BNBUSDT,SELL,667.0032930000001,666.0023430000001,0.1,0.1001,TP,1749666270000,1749668790000
BNBUSDT,SELL,666.043389,667.711639,0.1,-0.1668,SL,1749668850000,1749669930000
BNBUSDT,SELL,667.813212,666.812262,0.1,0.1001,TP,1749669945000,1749671910000
BNBUSDT,BUY,666.936687,667.937637,0.1,0.1001,TP,1749672030000,1749675375000
